bps_reference,document_title,bps_permalink
bps00001-6:2017-06,"Npts Framework Catalogue",http://standards.police.uk/bps00001-6_2017-06.html
bps00001-5:2017-06,"Npts Framework Nomenclature",http://standards.police.uk/bps00001-5_2017-06.html
bps18651-1:2017-06,"Two Way Interface - Police/Cps Pcd Xml Interface - Business Process Document",http://standards.police.uk/bps18651-1_2017-06.html
bps18651-2:2017-06,"Two Way Interface - Police/Cps Xml Interface - Business Process Document",http://standards.police.uk/bps18651-2_2017-06.html
bps21094,"Open Document Format (Odf) Guidance",http://standards.police.uk/bps21094.html
bps07894,"Code Of Practice For Protection Of Personally Identifiable Information (Pii) In Public Clouds Acting As Pii Processors",http://standards.police.uk/bps07894.html
bps73624,"Acpo-Npia Guidance On The Management Of Police Information Second Edition 2010",http://standards.police.uk/bps73624.html
bps07834,"Ico Gdpr Guidance- Contracts And Liabilities Between Controllers And Processors",http://standards.police.uk/bps07834.html
bps10267,"Police And Criminal Evidence Act (Pace) 1984",http://standards.police.uk/bps10267.html
bps69853,"Regulation Of Investigatory Powers Act 2000",http://standards.police.uk/bps69853.html
bps36284,"Data Protection Act 1998",http://standards.police.uk/bps36284.html
bps28187:2017-06,"National Ict Strategic Principles",http://standards.police.uk/bps28187_2017-06.html
bps34576,"Criminal Justice System- Data Standards Forum Guidance",http://standards.police.uk/bps34576.html
bps20392,"Detention And Custody Authorised Professional Practice",http://standards.police.uk/bps20392.html
bps23488,"Prosecution And Case Management Authorised Professional Practice",http://standards.police.uk/bps23488.html
bps22807,"Civil Emergencies Authorised Professional Practice",http://standards.police.uk/bps22807.html
bps20905,"Operations Authorised Professional Practice",http://standards.police.uk/bps20905.html
bps24531,"Digital Investigation And Intelligence Authorised Professional Practice",http://standards.police.uk/bps24531.html
bps16835,"Stop And Search Authorised Professional Practice",http://standards.police.uk/bps16835.html
bps12425,"Professional Standards Authorised Professional Practice",http://standards.police.uk/bps12425.html
bps28947,"Covert Policing Authorised Professional Practice",http://standards.police.uk/bps28947.html
bps20023,"Engagement And Communication Authorised Professional Practice",http://standards.police.uk/bps20023.html
bps20666,"Public Order Authorised Professional Practice",http://standards.police.uk/bps20666.html
bps21119,"Armed Policing Authorised Professional Practice",http://standards.police.uk/bps21119.html
bps26609,"Critical Incident Management Authorised Professional Practice",http://standards.police.uk/bps26609.html
bps16260,"Road Policing Authorised Professional Practice",http://standards.police.uk/bps16260.html
bps21385,"Information Management Authorised Professional Practice",http://standards.police.uk/bps21385.html
bps26325,"Policing Elections Authorised Professional Practice",http://standards.police.uk/bps26325.html
bps16275,"Mobilisation Authorised Professional Practice",http://standards.police.uk/bps16275.html
bps17879,"Intelligence Management Authorised Professional Practice",http://standards.police.uk/bps17879.html
bps17672,"Mental Health Authorised Professional Practice",http://standards.police.uk/bps17672.html
bps16391,"Major Investigation And Public Protection Authorised Professional Practice",http://standards.police.uk/bps16391.html
bps14066,"Risk Authorised Professional Practice",http://standards.police.uk/bps14066.html
bps24631,"National Decision Model Authorised Professional Practice",http://standards.police.uk/bps24631.html
bps31744,"Investigation Authorised Professional Practice",http://standards.police.uk/bps31744.html
bps00001-1:2017-06,"Npts Framework Overview",http://standards.police.uk/bps00001-1_2017-06.html
bps71548,"Best Practice For Biometric Capture",http://standards.police.uk/bps71548.html
bps18630-1,"Information Systems Strategy For The Police Service (Iss4Ps) - Volume One",http://standards.police.uk/bps18630-1.html
bps18630-2,"Information Systems Strategy For The Police Service (Iss4Ps) - Volume Two",http://standards.police.uk/bps18630-2.html
bps79618,"National Intelligence Model (Nim)",http://standards.police.uk/bps79618.html
bps00001-4:2017-06,"Npts Framework Style Guide",http://standards.police.uk/bps00001-4_2017-06.html
bps36890,"Technology Code Of Practice",http://standards.police.uk/bps36890.html
bps25439-1,"Acro Checks - Basic Standard",http://standards.police.uk/bps25439-1.html
bps25439-2,"Acro Checks - Immigration Services Use Of Response",http://standards.police.uk/bps25439-2.html
bps25439-3,"Acro Checks - Police Use Of Response",http://standards.police.uk/bps25439-3.html
bps97541,"Statutory Code Of Practice On The Management Of Police Information (Mopi Code Of Practice)",http://standards.police.uk/bps97541.html
bps81524,"National Security Strategy And Strategic Defence And Security Review 2015",http://standards.police.uk/bps81524.html
bps00001-2:2017-06,"Npts Framework Governance",http://standards.police.uk/bps00001-2_2017-06.html
bps61027,"Digital Witness Statement",http://standards.police.uk/bps61027.html
bps00001-3:2017-06,"Npts Framework Process",http://standards.police.uk/bps00001-3_2017-06.html
bps00001-7:2017-06,"Npts Framework Template",http://standards.police.uk/bps00001-7_2017-06.html
bps03546,"Cyber Essentials Plus",http://standards.police.uk/bps03546.html
bps56792,"Cyber Essentials",http://standards.police.uk/bps56792.html
bps59481,"10 Steps To Cyber Security",http://standards.police.uk/bps59481.html
bps60128,"Guidance - Set Up Government Email Services Securely",http://standards.police.uk/bps60128.html
